
# Curve 0 of 1, 500 points
# Curve title: "-x**2"
# x y type
-3 -9  i
-2.98798 -8.928  i
-2.97595 -8.85629  i
-2.96393 -8.78487  i
-2.9519 -8.71374  i
-2.93988 -8.64289  i
-2.92786 -8.57234  i
-2.91583 -8.50207  i
-2.90381 -8.4321  i
-2.89178 -8.36241  i
-2.87976 -8.29301  i
-2.86774 -8.22391  i
-2.85571 -8.15509  i
-2.84369 -8.08656  i
-2.83166 -8.01832  i
-2.81964 -7.95037  i
-2.80762 -7.8827  i
-2.79559 -7.81533  i
-2.78357 -7.74825  i
-2.77154 -7.68145  i
-2.75952 -7.61495  i
-2.74749 -7.54873  i
-2.73547 -7.4828  i
-2.72345 -7.41716  i
-2.71142 -7.35181  i
-2.6994 -7.28675  i
-2.68737 -7.22198  i
-2.67535 -7.1575  i
-2.66333 -7.09331  i
-2.6513 -7.02941  i
-2.63928 -6.96579  i
-2.62725 -6.90247  i
-2.61523 -6.83943  i
-2.60321 -6.77668  i
-2.59118 -6.71423  i
-2.57916 -6.65206  i
-2.56713 -6.59018  i
-2.55511 -6.52859  i
-2.54309 -6.46729  i
-2.53106 -6.40628  i
-2.51904 -6.34555  i
-2.50701 -6.28512  i
-2.49499 -6.22498  i
-2.48297 -6.16512  i
-2.47094 -6.10555  i
-2.45892 -6.04628  i
-2.44689 -5.98729  i
-2.43487 -5.92859  i
-2.42285 -5.87018  i
-2.41082 -5.81206  i
-2.3988 -5.75423  i
-2.38677 -5.69669  i
-2.37475 -5.63944  i
-2.36273 -5.58247  i
-2.3507 -5.5258  i
-2.33868 -5.46941  i
-2.32665 -5.41332  i
-2.31463 -5.35751  i
-2.30261 -5.30199  i
-2.29058 -5.24676  i
-2.27856 -5.19182  i
-2.26653 -5.13717  i
-2.25451 -5.08281  i
-2.24248 -5.02874  i
-2.23046 -4.97496  i
-2.21844 -4.92146  i
-2.20641 -4.86826  i
-2.19439 -4.81534  i
-2.18236 -4.76272  i
-2.17034 -4.71038  i
-2.15832 -4.65833  i
-2.14629 -4.60657  i
-2.13427 -4.5551  i
-2.12224 -4.50392  i
-2.11022 -4.45303  i
-2.0982 -4.40243  i
-2.08617 -4.35212  i
-2.07415 -4.30209  i
-2.06212 -4.25236  i
-2.0501 -4.20291  i
-2.03808 -4.15375  i
-2.02605 -4.10489  i
-2.01403 -4.05631  i
-2.002 -4.00802  i
-1.98998 -3.96002  i
-1.97796 -3.91231  i
-1.96593 -3.86489  i
-1.95391 -3.81776  i
-1.94188 -3.77091  i
-1.92986 -3.72436  i
-1.91784 -3.67809  i
-1.90581 -3.63212  i
-1.89379 -3.58643  i
-1.88176 -3.54103  i
-1.86974 -3.49593  i
-1.85772 -3.45111  i
-1.84569 -3.40658  i
-1.83367 -3.36234  i
-1.82164 -3.31838  i
-1.80962 -3.27472  i
-1.7976 -3.23135  i
-1.78557 -3.18826  i
-1.77355 -3.14547  i
-1.76152 -3.10296  i
-1.7495 -3.06075  i
-1.73747 -3.01882  i
-1.72545 -2.97718  i
-1.71343 -2.93583  i
-1.7014 -2.89477  i
-1.68938 -2.854  i
-1.67735 -2.81352  i
-1.66533 -2.77333  i
-1.65331 -2.73342  i
-1.64128 -2.69381  i
-1.62926 -2.65448  i
-1.61723 -2.61545  i
-1.60521 -2.5767  i
-1.59319 -2.53824  i
-1.58116 -2.50007  i
-1.56914 -2.46219  i
-1.55711 -2.4246  i
-1.54509 -2.3873  i
-1.53307 -2.35029  i
-1.52104 -2.31357  i
-1.50902 -2.27714  i
-1.49699 -2.24099  i
-1.48497 -2.20514  i
-1.47295 -2.16957  i
-1.46092 -2.13429  i
-1.4489 -2.0993  i
-1.43687 -2.06461  i
-1.42485 -2.0302  i
-1.41283 -1.99608  i
-1.4008 -1.96225  i
-1.38878 -1.9287  i
-1.37675 -1.89545  i
-1.36473 -1.86249  i
-1.35271 -1.82981  i
-1.34068 -1.79743  i
-1.32866 -1.76533  i
-1.31663 -1.73352  i
-1.30461 -1.70201  i
-1.29259 -1.67078  i
-1.28056 -1.63984  i
-1.26854 -1.60919  i
-1.25651 -1.57882  i
-1.24449 -1.54875  i
-1.23246 -1.51897  i
-1.22044 -1.48948  i
-1.20842 -1.46027  i
-1.19639 -1.43136  i
-1.18437 -1.40273  i
-1.17234 -1.37439  i
-1.16032 -1.34634  i
-1.1483 -1.31859  i
-1.13627 -1.29112  i
-1.12425 -1.26393  i
-1.11222 -1.23704  i
-1.1002 -1.21044  i
-1.08818 -1.18413  i
-1.07615 -1.1581  i
-1.06413 -1.13237  i
-1.0521 -1.10692  i
-1.04008 -1.08177  i
-1.02806 -1.0569  i
-1.01603 -1.03232  i
-1.00401 -1.00803  i
-0.991984 -0.984032  i
-0.97996 -0.960321  i
-0.967936 -0.9369  i
-0.955912 -0.913767  i
-0.943888 -0.890924  i
-0.931864 -0.86837  i
-0.91984 -0.846105  i
-0.907816 -0.824129  i
-0.895792 -0.802443  i
-0.883768 -0.781045  i
