      1.020202      -1.032744
      1.060606      -0.710796
      1.101010      -0.591427
      1.141414      -0.513563
      1.181818      -0.454905
      1.222222      -0.407138
      1.262626      -0.366474
      1.303030      -0.330735
      1.343434      -0.298634
      1.383838      -0.269355
      1.424242      -0.242352
      1.464646      -0.217181
      1.505050      -0.193639
      1.545455      -0.171443
      1.585859      -0.150455
      1.626263      -0.130581
      1.666667      -0.111647
      1.707071      -0.093679
      1.747475      -0.076502
      1.787879      -0.060167
      1.828283      -0.044550
      1.868687      -0.029675
      1.909091      -0.015469
      1.949495      -0.001955
      1.989899       0.010964
      2.030303       0.023240
      2.070707       0.034898
      2.111111       0.046010
      2.151515       0.056504
      2.191919       0.066479
      2.232323       0.075859
      2.272727       0.084769
      2.313131       0.093085
      2.353535       0.100906
      2.393939       0.108232
      2.434343       0.115038
      2.474747       0.121374
      2.515151       0.127187
      2.555556       0.132586
      2.595960       0.137462
      2.636364       0.141917
      2.676768       0.145926
      2.717172       0.149465
      2.757576       0.152584
      2.797980       0.155282
      2.838384       0.157559
      2.878788       0.159440
      2.919192       0.160900
      2.959596       0.162014
      3.000000       0.162707
      3.040404       0.163028
      3.080808       0.163028
      3.121212       0.162657
      3.161616       0.161939
      3.202020       0.160875
      3.242424       0.159539
      3.282828       0.157831
      3.323232       0.155851
      3.363636       0.153599
      3.404040       0.151025
      3.444444       0.148203
      3.484848       0.145131
      3.525253       0.141793
      3.565657       0.138254
      3.606061       0.134442
      3.646465       0.130433
      3.686869       0.126225
      3.727273       0.121820
      3.767677       0.117241
      3.808081       0.112489
      3.848485       0.107564
      3.888889       0.102539
      3.929293       0.097317
      3.969697       0.091996
      4.010101       0.086576
      4.050505       0.081032
      4.090909       0.075413
      4.131313       0.069696
      4.171717       0.063929
      4.212121       0.058113
      4.252525       0.052223
      4.292929       0.046307
      4.333333       0.040367
      4.373737       0.034403
      4.414141       0.028463
      4.454545       0.022498
      4.494949       0.016557
      4.535354       0.010643
      4.575758       0.004777
      4.616162      -0.001064
      4.656566      -0.006831
      4.696970      -0.012548
      4.737374      -0.018191
      4.777778      -0.023760
      4.818182      -0.029230
      4.858586      -0.034601
      4.898990      -0.039872
      4.939394      -0.045020
      4.979798      -0.050069
